emg1,emg2,emg3,label
1.314761,3.044966,0.928641,open
1.256109,2.717498,0.7087,open
1.15347,1.593353,0.478983,open
1.036168,0.68915,0.371457,open
0.997067,0.361681,0.254154,open
1.006843,0.454545,0.210166,open
1.016618,0.532747,0.249267,open
1.031281,0.645161,0.244379,open
1.045943,0.923754,0.307918,open
1.026393,0.620723,0.288368,open
0.987292,0.386119,0.210166,open
0.982405,0.219941,0.171065,open
0.97263,0.166178,0.156403,open
0.97263,0.14174,0.151515,open
0.962854,0.131965,0.151515,open
0.957967,0.131965,0.146628,open
0.953079,0.131965,0.146628,open
0.957967,0.127077,0.146628,open
0.97263,0.131965,0.146628,open
0.97263,0.136852,0.151515,open
0.977517,0.136852,0.151515,open
0.967742,0.136852,0.146628,open
0.967742,0.127077,0.146628,open
0.967742,0.136852,0.146628,open
0.977517,0.136852,0.146628,open
0.977517,0.136852,0.151515,open
0.97263,0.131965,0.156403,open
0.967742,0.136852,0.151515,open
0.97263,0.131965,0.151515,open
0.967742,0.136852,0.146628,open
0.97263,0.131965,0.151515,open
0.977517,0.136852,0.151515,open
0.97263,0.131965,0.146628,open
0.977517,0.131965,0.151515,open
0.97263,0.136852,0.151515,open
0.962854,0.131965,0.151515,open
0.967742,0.14174,0.151515,open
0.977517,0.131965,0.146628,open
0.967742,0.131965,0.156403,open
0.967742,0.131965,0.156403,open
0.977517,0.131965,0.146628,open
0.967742,0.131965,0.151515,open
0.97263,0.131965,0.151515,open
0.967742,0.131965,0.146628,open
0.967742,0.136852,0.151515,open
0.97263,0.136852,0.151515,open
0.977517,0.131965,0.151515,open
0.97263,0.131965,0.151515,open
0.977517,0.131965,0.151515,open
0.97263,0.131965,0.151515,open
0.977517,0.131965,0.151515,open
0.97263,0.131965,0.151515,open
0.977517,0.131965,0.151515,open
0.977517,0.131965,0.146628,open
0.97263,0.136852,0.156403,open
0.982405,0.131965,0.151515,open
0.97263,0.131965,0.156403,open
0.977517,0.131965,0.151515,open
0.97263,0.131965,0.151515,open
0.967742,0.136852,0.151515,open
0.97263,0.131965,0.151515,open
0.97263,0.136852,0.156403,open
1.070381,1.309873,0.54741,open
1.407625,4.501466,2.008798,open
1.441838,4.501466,2.59042,close
1.510264,4.496579,2.394917,close
1.505376,4.501466,2.825024,close
1.520039,4.496579,2.184751,close
1.515152,4.496579,1.666667,close
1.573803,4.496579,2.077224,close
1.617791,4.496579,2.390029,close
1.627566,4.496579,2.1652,close
1.622678,4.501466,1.857283,close
1.632454,4.496579,1.808407,close
1.686217,4.496579,2.531769,close
1.749756,4.496579,3.103617,close
1.749756,4.501466,2.883675,close
1.749756,4.501466,2.502444,close
1.735093,4.496579,2.184751,close
1.705767,4.496579,1.671554,close
1.671554,4.491691,1.319648,close
1.676442,4.496579,2.204301,close
1.671554,4.496579,2.326491,close
1.642229,4.496579,1.901271,close
1.617791,4.496579,1.798631,close
1.632454,4.496579,1.969697,close
1.593353,4.501466,1.466276,close
1.59824,4.491691,1.4565,close
1.583578,4.496579,1.495601,close
1.583578,4.496579,1.59824,close
1.564027,4.496579,1.378299,close
1.554252,4.496579,1.256109,close
1.554252,4.496579,1.666667,close
1.505376,4.281525,0.99218,close
1.520039,4.491691,1.495601,close
1.515152,4.496579,1.402737,close
1.524927,4.491691,1.236559,close
1.505376,4.389052,1.13392,close
1.539589,4.491691,1.363636,close
1.520039,4.496579,1.119257,close
1.524927,4.501466,1.187683,close
1.529814,4.437928,1.070381,close
1.466276,3.768328,0.953079,close
1.4174,3.5435,1.026393,close
1.505376,4.491691,1.192571,close
1.524927,4.496579,1.124145,close
1.461388,3.670577,1.104594,close
1.441838,3.5435,1.119257,close
1.529814,4.491691,1.202346,close
1.495601,4.002933,1.001955,close
1.4174,3.382209,0.943304,close
1.388074,3.01564,1.226784,close
1.510264,4.31085,1.050831,close
1.461388,3.651026,1.138807,close
1.485826,4.154448,0.918866,close
1.520039,4.496579,0.889541,close
1.515152,4.486804,0.928641,close
1.441838,3.567937,0.738025,close
1.334311,2.668622,1.094819,close
1.339198,3.372434,0.962854,open
1.348974,3.406647,0.957967,open
1.334311,3.264907,0.943304,open
1.368524,3.592375,1.045943,close
1.358749,3.572825,0.894428,close
1.402737,3.954057,0.987292,close
1.466276,4.486804,0.953079,close
1.43695,3.919844,1.148583,close
1.466276,4.017595,1.006843,close
1.334311,2.697947,0.855327,close
1.339198,3.049853,1.075269,open
1.290323,2.73216,0.938416,open
1.300098,3.167155,0.967742,open
1.251222,2.521994,1.075269,open
1.339198,3.5826,0.97263,open
1.300098,2.893451,0.772239,open
1.192571,1.808407,0.698925,open
